device_identifier,data_point_name,data_point_identifier,device_name
RC04N0052,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R208,thermostat
RC04N0052,unit-symbol writeble sp unit point max kind label,TUC.245.76.R215,thermostat
RC04N0052,param delay,TUC.245.76.R217,thermostat
RC04N0052,cmd lockout,TUC.245.76.R219,thermostat
RC04N0052,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R214,thermostat
RC04N0052,kind point cmd writeble send label,TUC.245.76.R218,thermostat
RC04N0053,param delay,TUC.245.76.R377,thermostat
RC04N0053,his kind keepalive writeble cmd label point onoff,TUC.245.76.R366,thermostat
RC04N0053,cmd lockout,TUC.245.76.R379,thermostat
RC04N0053,point label kind his sensor occ keepalive,TUC.245.76.R364,thermostat
RC04N0053,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R360,thermostat
RC04N0053,unit-symbol writeble sp unit point max kind label,TUC.245.76.R375,thermostat
RC04N0053,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R368,thermostat
RC04N0053,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R374,thermostat
RC04N0053,kind label cmd point mode writeble,TUC.245.76.R367,thermostat
RC04N0053,cmd his writeble label kind fan point keepalive,TUC.245.76.R369,thermostat
RC04N0053,kind point cmd writeble send label,TUC.245.76.R378,thermostat
RC04N0054,kind point cmd writeble send label,TUC.245.76.R478,thermostat
RC04N0054,cmd lockout,TUC.245.76.R479,thermostat
RC04N0054,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R474,thermostat
RC04N0054,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R468,thermostat
RC04N0054,point label kind his sensor occ keepalive,TUC.245.76.R464,thermostat
RC04N0054,his kind keepalive writeble cmd label point onoff,TUC.245.76.R466,thermostat
RC04N0054,kind label cmd point mode writeble,TUC.245.76.R467,thermostat
RC04N0054,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R460,thermostat
RC04N0054,cmd his writeble label kind fan point keepalive,TUC.245.76.R469,thermostat
RC04N0054,unit-symbol writeble sp unit point max kind label,TUC.245.76.R475,thermostat
RC04N0054,param delay,TUC.245.76.R477,thermostat
RC04N0055,point label kind his sensor occ keepalive,TUC.245.76.R444,thermostat
RC04N0055,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R448,thermostat
RC04N0055,cmd lockout,TUC.245.76.R459,thermostat
RC04N0055,param delay,TUC.245.76.R457,thermostat
RC04N0055,his kind keepalive writeble cmd label point onoff,TUC.245.76.R446,thermostat
RC04N0055,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R440,thermostat
RC04N0055,unit-symbol writeble sp unit point max kind label,TUC.245.76.R455,thermostat
RC04N0055,kind label cmd point mode writeble,TUC.245.76.R447,thermostat
RC04N0055,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R454,thermostat
RC04N0055,kind point cmd writeble send label,TUC.245.76.R458,thermostat
RC04N0055,cmd his writeble label kind fan point keepalive,TUC.245.76.R449,thermostat
RC04N0056,param delay,TUC.245.76.R437,thermostat
RC04N0056,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R428,thermostat
RC04N0056,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R434,thermostat
RC04N0056,point label kind his sensor occ keepalive,TUC.245.76.R424,thermostat
RC04N0056,cmd his writeble label kind fan point keepalive,TUC.245.76.R429,thermostat
RC04N0056,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R420,thermostat
RC04N0056,kind point cmd writeble send label,TUC.245.76.R438,thermostat
RC04N0056,cmd lockout,TUC.245.76.R439,thermostat
RC04N0056,unit-symbol writeble sp unit point max kind label,TUC.245.76.R435,thermostat
RC04N0056,his kind keepalive writeble cmd label point onoff,TUC.245.76.R426,thermostat
RC04N0056,kind label cmd point mode writeble,TUC.245.76.R427,thermostat
RC04N0057,cmd lockout,TUC.245.76.R419,thermostat
RC04N0057,cmd his writeble label kind fan point keepalive,TUC.245.76.R409,thermostat
RC04N0057,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R408,thermostat
RC04N0057,param delay,TUC.245.76.R417,thermostat
RC04N0057,kind label cmd point mode writeble,TUC.245.76.R407,thermostat
RC04N0057,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R414,thermostat
RC04N0057,unit-symbol writeble sp unit point max kind label,TUC.245.76.R415,thermostat
RC04N0057,his kind keepalive writeble cmd label point onoff,TUC.245.76.R406,thermostat
RC04N0057,point label kind his sensor occ keepalive,TUC.245.76.R404,thermostat
RC04N0057,kind point cmd writeble send label,TUC.245.76.R418,thermostat
RC04N0057,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R400,thermostat
RC04N0058,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R388,thermostat
RC04N0058,param delay,TUC.245.76.R397,thermostat
RC04N0058,cmd his writeble label kind fan point keepalive,TUC.245.76.R389,thermostat
RC04N0058,unit-symbol writeble sp unit point max kind label,TUC.245.76.R395,thermostat
RC04N0058,his kind keepalive writeble cmd label point onoff,TUC.245.76.R386,thermostat
RC04N0058,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R380,thermostat
RC04N0058,kind label cmd point mode writeble,TUC.245.76.R387,thermostat
RC04N0058,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R394,thermostat
RC04N0058,kind point cmd writeble send label,TUC.245.76.R398,thermostat
RC04N0058,point label kind his sensor occ keepalive,TUC.245.76.R384,thermostat
RC04N0058,cmd lockout,TUC.245.76.R399,thermostat
